Src_IP_Entropy,Dst_Port_Entropy,Packet_Rate,Label
0.4689955935892812,3.321928094887362,610531.0509868512,Syn
0.0,3.321928094887362,415705.2666413341,Syn
0.0,3.1219280948873624,803539.9441752527,Syn
0.0,3.321928094887362,211927.11704787123,Syn
0.0,3.321928094887362,415725.2140584517,Syn
0.0,3.321928094887362,607921.6895730471,Syn
0.0,3.121928094887362,427884.751577314,Syn
0.0,3.321928094887362,212046.73665973917,Syn
0.0,3.321928094887362,416074.56921924284,Syn
0.0,3.321928094887362,212927.68925343925,Syn
0.0,3.1219280948873624,416086.22407070006,Syn
0.0,3.1219280948873624,411859.16964115825,Syn
0.0,3.321928094887362,21577.959965205075,Syn
0.0,3.321928094887362,511183.9792243966,Syn
0.0,3.321928094887362,411150.9323269774,Syn
0.0,3.121928094887362,420385.6724632268,Syn
0.0,3.321928094887362,417954.20492388704,Syn
0.0,3.321928094887362,1003921.6398230182,Syn
0.0,3.121928094887362,418216.73971255694,Syn
0.0,3.321928094887362,607345.1493489466,Syn
0.0,3.321928094887362,211799.7251728229,Syn
0.0,3.321928094887362,307729.79914963915,Syn
0.0,3.321928094887362,417017.64674321783,Syn
0.0,3.321928094887362,215710.54412507833,Syn
0.0,3.321928094887362,418796.3307442384,Syn
0.0,3.1219280948873624,226238.0489936474,Syn
0.0,3.121928094887362,627467.039549794,Syn
0.0,3.121928094887362,903773.641630825,Syn
0.0,3.321928094887362,19185.069061199698,Syn
0.0,3.321928094887362,606302.6517384885,Syn
0.0,3.321928094887362,816216.8737562121,Syn
0.0,3.321928094887362,414880.9389148653,Syn
0.0,3.321928094887362,8611.3027460798,Syn
0.0,3.321928094887362,807729.7390442246,Syn
0.0,3.321928094887362,612100.9473457842,Syn
0.0,3.321928094887362,404000.1439099015,Syn
0.0,3.321928094887362,207079.89221984264,Syn
0.0,3.321928094887362,514142.3094469948,Syn
0.0,3.321928094887362,613756.3615712257,Syn
0.0,3.321928094887362,825259.6977311546,Syn
0.0,3.321928094887362,416050.3212417472,Syn
0.0,3.321928094887362,418638.79660206975,Syn
0.0,3.321928094887362,517686.2628883297,Syn
0.0,3.321928094887362,418485.6616785266,Syn
0.0,3.321928094887362,3125.202502254526,Syn
0.0,3.321928094887362,1210711.7831389492,Syn
0.0,3.321928094887362,622111.184566549,Syn
0.0,3.1219280948873624,907993.7220631379,Syn
0.0,3.121928094887362,611504.753282435,Syn
0.0,2.8464393446710154,412436.5872405738,Syn
0.0,3.321928094887362,421002.978270924,Syn
0.0,3.121928094887362,1012388.679291724,Syn
0.0,2.9219280948873623,419553.4926752653,Syn
0.0,3.121928094887362,413700.37153462024,Syn
0.0,2.921928094887362,811741.5689069803,Syn
0.0,3.1219280948873624,417596.90209541033,Syn
0.0,3.321928094887362,233993.9854880312,Syn
0.0,3.321928094887362,419292.2704487864,Syn
0.0,3.321928094887362,214727.376829746,Syn
0.0,3.321928094887362,711246.3430901889,Syn
0.0,3.321928094887362,723516.12260394,Syn
